Cote,Titre,Auteur,Lieu,Edition,Annee,Nb_pages,Matiere,Inventaire,Auteur_Pairs,Auteur_Names,language,notice_key,is_duplicate_row,is_duplicate_inventory,is_duplicate_notice
378.1/12,جامعة البصرة تطور وتعبئة,جامعة البصرة / المركز الثقافي,البصرة,المركز الثقافي,1988,259,التربية والتعليم,18885,"[('جامعة البصرة / المركز الثقافي', 'Auteur')]",جامعة البصرة / المركز الثقافي,ara,جامعة البصرة تطور وتعبئة|جامعة البصرة / المركز الثقافي|1988,False,False,False
911/28,مدينة المخمدية ومحيطها البيئي,جامعة الحسن الثاني,المحمدية,كلية الآداب والعلوم الإنسانية,1997,245,جغرافية عامة,28489,"[('جامعة الحسن الثاني', 'Auteur')]",جامعة الحسن الثاني,ara,مدينة المخمدية ومحيطها البيئي|جامعة الحسن الثاني|1997,False,False,False
946/246ج1,أعمال ندوة التجارة في علاقتها بالمجتمع والدولة عبر تاريخ المغرب ج 1,جامعة الحسن الثاني,عين الشق,منشورات كلية الآداب والعلوم الانسانية,1989,277,تاريخ المغرب,29057,"[('جامعة الحسن الثاني', 'Auteur')]",جامعة الحسن الثاني,ara,أعمال ندوة التجارة في علاقتها بالمجتمع والدولة عبر تاريخ المغرب ج 1|جامعة الحسن الثاني|1989,False,False,False
964/246ج2,أعمال ندوة التجارة في علاقتها بالمجتمع والدولة عبر تاريخ المغرب الجزء الثاني,جامعة الحسن الثاني,عين الشق,منشورات كلية الآداب والعلوم الانسانية,1989,310,تاريخ المغرب,29058,"[('جامعة الحسن الثاني', 'Auteur')]",جامعة الحسن الثاني,ara,أعمال ندوة التجارة في علاقتها بالمجتمع والدولة عبر تاريخ المغرب الجزء الثاني|جامعة الحسن الثاني|1989,False,False,False
008_927/20,منهج في الثقافة الإسلامية. الجزء الثاني: نحو وعي إسلامي بالتحديات المعاصرة,جامعة الخليج العربي,المنامة,جامعة الخليج العربي,1988,376,الثقافة العربية,19786,"[('جامعة الخليج العربي', 'Auteur')]",جامعة الخليج العربي,ara,منهج في الثقافة الإسلامية. الجزء الثاني: نحو وعي إسلامي بالتحديات المعاصرة|جامعة الخليج العربي|1988,False,False,False
378/46,منهج في الثقافة الإسلامية بجامعة الخليج العربي. الجزء الأول: التصورات الفكرية للمنهج,جامعة الخليج العربي,المنامة,جامعة الخليج العربي,,145,الثقافة العربية,17988,"[('جامعة الخليج العربي', 'Auteur')]",جامعة الخليج العربي,ara,,False,True,True
33/25,الاتفاقية الموحدة لاستثمار رؤوس الاموال العربية في الدول العربية,جامعة الدول العربية,تونس,جامعة الدول العربية,1982,29,الاقتصاد السياسي,12484,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,الاتفاقية الموحدة لاستثمار رؤوس الاموال العربية في الدول العربية|جامعة الدول العربية|1982,False,False,True
33/26,الاتفاقية الموحدة لاستثمار رؤوس الاموال العربية في الدول العربية,جامعة الدول العربية,تونس,جامعة الدول العربية,1982,29,الاقتصاد السياسي,12438,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,الاتفاقية الموحدة لاستثمار رؤوس الاموال العربية في الدول العربية|جامعة الدول العربية|1982,False,False,True
330.191.6/14,نحو عمل إقتصادي عربي مشترك,جامعة الدول العربية,عمان,جامعة الدول العربية,1980,308,الاقتصاد العالمي,17863,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,نحو عمل إقتصادي عربي مشترك|جامعة الدول العربية|1980,False,False,False
330.191.6/19,نحو عمل اقتصادي عربي مشترك,جامعة الدول العربية,,جامعة الدول العربية,1980,181,الاقتصاد العالمي,17820,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,نحو عمل اقتصادي عربي مشترك|جامعة الدول العربية|1980,False,False,False
